"original_read_name","analysis_read_name","read_direction"
"RBNII395-13[C_LepFolF,C_LepFolR]_Forward","RBNII395-13[C_LepFolF,C_LepFolR]_1_F","Forward"
"RBNII395-13[C_LepFolF,C_LepFolR]_Reverse","RBNII395-13[C_LepFolF,C_LepFolR]_1_R","Reverse"
