"original_read_name","analysis_read_name","read_direction"
"ACHLO006-09[LCO1490_t1,HCO2198_t1]_Forward","ACHLO006-09[LCO1490_t1,HCO2198_t1]_1_F","Forward"
"ACHLO006-09[LCO1490_t1,HCO2198_t1]_Reverse","ACHLO006-09[LCO1490_t1,HCO2198_t1]_1_R","Reverse"
